dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
24-Oct,33.288,alive,none,belted,1,f,25,1997,1992,unavail,driver,0,3,0.450706019
24-Oct,507.716,alive,airbag,belted,1,f,25,1997,1997,nodeploy,driver,0,0,0.461828704
55+,43.986,alive,none,belted,0,m,25,1997,1990,unavail,driver,0,3,0.483344907
25-39,580.063,alive,none,none,1,m,25,1997,1990,unavail,driver,0,1,0.48681713
25-39,3863.192,alive,airbag,belted,1,f,25,1997,1995,deploy,pass,1,5,0.496550926
40-54,93.147,alive,airbag,belted,1,m,25,1997,1997,deploy,pass,1,3,9:58:01
24-Oct,47.304,alive,none,belted,0,f,25,1997,1988,unavail,driver,0,2,0.427106481
24-Oct,20.703,alive,airbag,belted,0,m,25,1997,1996,deploy,driver,1,0,0.43681713
25-39,18.171,alive,airbag,belted,0,f,25,1997,1997,nodeploy,driver,0,3,0.439594907
25-39,169.829,alive,none,belted,1,f,25,1997,1985,unavail,pass,0,1,0.52224537
24-Oct,291.332,alive,none,belted,1,m,25,1997,1987,unavail,driver,0,0,0.531261574
55+,34.053,alive,none,belted,0,f,25,1997,1991,unavail,driver,0,3,12:27:01
24-Oct,34.053,alive,airbag,none,0,m,25,1997,1995,nodeploy,driver,0,3,12:30:01
24-Oct,250.661,alive,airbag,belted,1,f,25,1997,1995,deploy,driver,1,0,0.542372685
40-54,50.838,dead,none,none,0,m,25,1997,1976,unavail,driver,0,4,0.550706019
24-Oct,477.118,alive,none,belted,1,f,25,1997,1988,unavail,driver,0,1,0.558356481
24-Oct,34.053,alive,none,belted,1,m,25,1997,1993,unavail,pass,0,0,0.584756944
25-39,30.29,alive,none,belted,0,f,25,1997,1993,unavail,pass,0,0,0.605578704
40-54,34.053,alive,none,belted,1,f,25,1997,1996,unavail,pass,0,3,0.607650463
24-Oct,34.053,alive,airbag,none,0,m,25,1997,1994,deploy,driver,1,3,0.608344907
25-39,31.342,alive,none,belted,1,m,25,1997,1989,unavail,driver,0,2,0.611828704
24-Oct,682.886,alive,airbag,belted,0,f,25,1997,1996,deploy,driver,1,0,0.631273148
40-54,30.29,alive,none,belted,1,m,25,1997,1989,unavail,driver,0,2,0.63681713
25-39,71.181,alive,airbag,belted,1,f,25,1997,1996,deploy,driver,1,1,0.638217593
55+,78.753,alive,none,belted,0,m,25,1997,1991,unavail,driver,0,3,0.642384259
24-Oct,340.849,alive,airbag,none,1,f,25,1997,1997,nodeploy,pass,0,2,0.659050926
24-Oct,95.497,alive,none,none,1,m,25,1997,1989,unavail,pass,0,NA,13:33:02
24-Oct,2171.513,alive,airbag,belted,1,f,25,1997,1993,deploy,driver,1,1,13:37:01
24-Oct,87.135,alive,airbag,none,0,m,25,1997,1995,nodeploy,driver,0,3,13:56:01
24-Oct,186.515,alive,none,none,0,f,25,1997,1981,unavail,driver,0,0,0.589606481
24-Oct,93.475,alive,none,none,1,m,25,1997,1978,unavail,driver,0,0,0.597928241
25-39,87.135,alive,airbag,belted,1,f,25,1997,1995,deploy,driver,1,3,0.606967593
24-Oct,87.135,alive,none,belted,0,m,25,1997,1989,unavail,driver,0,1,0.612523148
25-39,110.421,alive,none,none,1,f,25,1997,1991,unavail,driver,0,3,0.66181713
24-Oct,87.135,alive,airbag,none,1,f,25,1997,1996,nodeploy,pass,0,3,0.675011574
24-Oct,240.209,alive,airbag,belted,1,m,25,1997,1992,nodeploy,driver,0,0,0.679872685
25-39,24.818,alive,airbag,none,1,f,25,1997,1997,deploy,driver,1,3,41:37:02
24-Oct,450.327,alive,airbag,belted,1,f,25,1997,1995,deploy,driver,1,2,41:69:2
25-39,19.923,alive,none,belted,0,f,25,1997,1985,unavail,driver,0,3,41:104:1
24-Oct,35.009,alive,none,belted,1,f,25,1997,1994,unavail,pass,0,3,41:158:1
24-Oct,4166.155,alive,none,belted,1,m,25,1997,1988,unavail,driver,0,0,43:13:01
25-39,162.956,alive,none,belted,1,m,25,1997,1991,unavail,driver,0,2,43:39:01
25-39,162.956,alive,none,belted,1,m,25,1997,1991,unavail,pass,0,3,43:39:01
40-54,68.781,alive,none,belted,0,f,25,1997,1987,unavail,driver,0,3,43:71:1
24-Oct,768.269,alive,airbag,belted,1,f,25,1997,1995,nodeploy,driver,0,0,43:75:2
24-Oct,38.595,alive,airbag,belted,0,m,25,1997,1995,deploy,driver,1,3,43:81:2
24-Oct,70.91,alive,airbag,belted,1,f,25,1997,1990,nodeploy,driver,0,1,43:116:2
24-Oct,172.12,alive,airbag,belted,0,m,25,1997,1996,deploy,driver,1,1,43:117:2
24-Oct,1195.694,alive,airbag,belted,1,f,25,1997,1993,nodeploy,driver,0,0,43:142:1
24-Oct,1195.694,alive,none,belted,1,m,25,1997,1983,unavail,driver,0,0,43:142:2
24-Oct,38.595,alive,none,belted,1,m,25,1997,1988,unavail,pass,0,0,43:171:1
55+,51.137,alive,airbag,none,0,m,25,1997,1989,deploy,driver,1,3,43:194:1
24-Oct,41.44,alive,airbag,belted,0,f,25,1997,1994,deploy,driver,1,3,43:195:1
24-Oct,3561.64,alive,none,belted,1,m,25,1997,1987,unavail,driver,0,0,43:207:2
24-Oct,2763.333,alive,none,belted,0,m,25,1997,1993,unavail,driver,0,1,43:219:1
25-39,55.33,alive,none,belted,0,f,25,1997,1990,unavail,pass,0,3,43:224:1
24-Oct,51.137,alive,none,belted,0,m,25,1997,1987,unavail,driver,0,3,43:243:1
24-Oct,281.378,alive,airbag,belted,1,f,25,1997,1995,deploy,driver,1,2,43:244:1
40-54,38.595,alive,airbag,belted,0,f,25,1997,1997,deploy,driver,1,3,43:248:1
25-39,38.595,alive,none,none,1,m,25,1997,1985,unavail,driver,0,1,43:248:2
24-Oct,61.062,alive,none,none,0,m,25,1997,1983,unavail,pass,0,3,45:26:01
40-54,41.119,alive,airbag,belted,0,f,25,1997,1993,nodeploy,driver,0,2,45:92:1
40-54,45.255,dead,none,none,1,m,25,1997,1989,unavail,driver,0,4,45:102:1
24-Oct,104.716,alive,none,none,1,f,25,1997,1993,unavail,driver,0,3,45:123:1
24-Oct,1954.578,alive,none,belted,1,m,25,1997,1990,unavail,driver,0,0,45:125:2
55+,57.258,alive,none,none,1,m,25,1997,1973,unavail,pass,0,3,45:163:1
24-Oct,51.823,alive,airbag,belted,1,m,25,1997,1996,deploy,driver,1,2,45:177:1
40-54,222.002,alive,none,belted,0,m,25,1997,1993,unavail,driver,0,3,48:42:02
24-Oct,428.648,alive,none,none,1,m,25,1997,1992,unavail,driver,0,2,48:97:1
25-39,222.002,alive,none,belted,1,m,25,1997,1992,unavail,driver,0,3,48:118:1
25-39,655.934,alive,none,none,1,m,25,1997,1979,unavail,driver,0,3,48:121:1
24-Oct,3217.251,alive,airbag,belted,0,m,25,1997,1994,deploy,driver,1,0,49:10:02
24-Oct,9.987,alive,airbag,belted,0,f,25,1997,1990,deploy,driver,1,3,49:68:1
55+,8.578,dead,none,none,1,m,25,1997,1969,unavail,driver,0,4,49:73:1
24-Oct,7.119,alive,none,belted,1,m,25,1997,1987,unavail,driver,0,1,49:77:1
24-Oct,401.226,alive,airbag,belted,1,f,25,1997,1997,nodeploy,pass,0,0,49:83:2
24-Oct,8.654,alive,airbag,belted,1,m,25,1997,1996,deploy,pass,1,0,49:100:2
55+,6.979,alive,airbag,belted,1,m,25,1997,1997,deploy,pass,1,0,49:119:1
24-Oct,44.429,alive,airbag,none,1,f,25,1997,1992,deploy,driver,1,3,49:128:2
40-54,8.578,alive,none,belted,0,m,25,1997,1982,unavail,driver,0,2,49:131:1
40-54,7.421,alive,airbag,belted,1,m,25,1997,1991,deploy,driver,1,0,49:165:2
24-Oct,448.942,alive,airbag,belted,1,m,25,1997,1998,deploy,pass,1,0,49:182:2
25-39,3.168,alive,none,belted,0,m,25,1997,1987,unavail,driver,0,3,72:46:02
25-39,12.836,alive,airbag,none,1,m,25,1997,1994,deploy,pass,1,3,72:110:1
24-Oct,452.251,alive,airbag,belted,1,m,25,1997,1995,nodeploy,driver,0,1,73:59:01
24-Oct,26.413,alive,airbag,none,1,f,25,1997,1995,nodeploy,driver,0,3,73:85:1
24-Oct,88.338,alive,airbag,belted,0,f,25,1997,1994,nodeploy,driver,0,1,73:128:2
40-54,30.563,alive,none,none,1,m,25,1997,1990,unavail,pass,0,3,74:106:1
25-39,17.315,alive,none,belted,1,m,25,1997,1990,unavail,pass,0,0,74:146:2
55+,14.037,dead,airbag,belted,0,f,25,1997,1995,deploy,driver,1,4,74:148:1
40-54,44.669,alive,none,belted,1,f,25,1997,1989,unavail,driver,0,3,75:19:01
24-Oct,50.617,alive,none,none,1,m,25,1997,1988,unavail,driver,0,0,75:103:1
24-Oct,88.073,alive,airbag,belted,0,f,25,1997,1996,nodeploy,driver,0,0,75:124:2
24-Oct,2152.624,alive,airbag,belted,0,m,25,1997,1997,nodeploy,pass,0,NA,75:197:1
24-Oct,142.586,alive,airbag,belted,1,f,25,1997,1996,nodeploy,driver,0,2,75:221:2
40-54,66.808,alive,none,belted,1,m,25,1997,1988,unavail,driver,0,3,78:09:01
25-39,181.124,alive,none,none,1,m,25,1997,1987,unavail,driver,0,2,78:30:02
25-39,1759.829,alive,none,belted,1,m,25,1997,1982,unavail,driver,0,0,78:38:01
24-Oct,50.312,alive,airbag,belted,1,m,25,1997,1990,nodeploy,driver,0,0,78:39:02
24-Oct,4.026,alive,none,belted,0,m,25,1997,1979,unavail,driver,0,0,79:62:2
40-54,120.058,alive,airbag,belted,1,m,25,1997,1995,deploy,driver,1,1,79:83:2
25-39,4.046,alive,airbag,belted,0,m,25,1997,1993,deploy,driver,1,1,79:88:2
24-Oct,32.824,alive,airbag,belted,0,m,25,1997,1998,nodeploy,driver,0,1,79:130:2
24-Oct,41.393,alive,none,belted,1,m,25,1997,1985,unavail,pass,0,0,79:150:1
24-Oct,2.128,alive,none,none,1,m,25,1997,1987,unavail,pass,0,3,79:175:1
25-39,35.419,alive,none,none,0,m,25,1997,1982,unavail,driver,0,0,79:188:2
55+,13.273,alive,none,none,0,f,25,1997,1989,unavail,driver,0,3,81:40:02
25-39,14.189,dead,none,none,0,m,25,1997,1982,unavail,driver,0,4,81:60:1
40-54,14.633,alive,none,none,0,m,25,1997,1988,unavail,driver,0,3,81:66:1
24-Oct,41.577,alive,airbag,belted,1,m,25,1997,1997,nodeploy,pass,0,2,81:107:1
24-Oct,5.194,alive,airbag,belted,0,f,25,1997,1996,deploy,driver,1,3,82:36:01
24-Oct,5.194,alive,none,belted,1,m,25,1997,1991,unavail,pass,0,0,82:36:02
24-Oct,199.755,alive,airbag,belted,1,f,25,1997,1996,deploy,driver,1,0,82:60:3
24-Oct,8.644,alive,none,none,1,m,25,1997,1991,unavail,driver,0,3,82:65:1
25-39,8.644,alive,none,belted,1,f,25,1997,1990,unavail,driver,0,3,82:65:2
24-Oct,5.531,alive,airbag,none,0,m,25,1997,1994,deploy,driver,1,1,82:74:2
24-Oct,192.182,alive,none,belted,1,f,25,1998,1989,unavail,driver,0,1,2:22:01
24-Oct,816.915,alive,none,belted,1,m,25,1998,1984,unavail,driver,0,0,2:27:01
24-Oct,1213.358,alive,none,none,1,m,25,1998,1988,unavail,driver,0,0,2:35:02
24-Oct,31.451,alive,none,belted,0,f,25,1998,1988,unavail,driver,0,1,2:45:01
25-39,269.813,alive,none,belted,0,f,25,1998,1993,unavail,driver,0,1,0.147939815
25-39,206.564,alive,airbag,belted,1,f,25,1998,1991,deploy,driver,1,1,3:07:02
25-39,60.363,alive,none,none,1,m,25,1998,1989,unavail,driver,0,3,0.268761574
25-39,0,alive,airbag,belted,1,m,25,1998,1998,deploy,driver,1,1,0.764606481
25-39,6.614,alive,airbag,none,1,f,25,1998,1996,deploy,driver,1,3,6:37:01
1-9km/h,316.43,alive,airbag,belted,0,m,25,1998,1998,nodeploy,driver,0,1,6:58:02
40-54,478.543,alive,airbag,none,1,m,25,1998,1995,deploy,driver,1,2,0.302789352
25-39,2329.294,alive,airbag,belted,1,f,25,1998,1994,deploy,driver,1,0,8:47:01
24-Oct,29.816,alive,airbag,belted,1,f,25,1998,1997,nodeploy,driver,0,3,0.383356481
55+,73.005,alive,airbag,belted,1,m,25,1998,1996,deploy,pass,1,3,9:10:02
40-54,90.541,alive,none,belted,1,m,25,1998,1994,unavail,pass,0,0,9:23:02
40-54,41.53,alive,airbag,belted,0,m,25,1998,1998,nodeploy,driver,0,3,9:27:02
24-Oct,55.754,alive,airbag,belted,1,m,25,1998,1996,deploy,pass,1,0,9:32:01
40-54,707.178,alive,airbag,belted,1,m,25,1998,1998,deploy,driver,1,1,0.450011574
25-39,49.69,alive,none,belted,1,m,25,1998,1992,unavail,driver,0,1,11:22:01
24-Oct,191.794,alive,airbag,belted,0,m,25,1998,1996,nodeploy,driver,0,1,11:54:01
25-39,200.896,alive,airbag,belted,1,f,25,1998,1995,nodeploy,driver,0,2,0.500717593
24-Oct,515.997,alive,none,belted,1,f,25,1998,1990,unavail,pass,0,1,0.526412037
24-Oct,845.246,alive,none,belted,1,m,25,1998,1990,unavail,driver,0,0,0.537511574
24-Oct,0,alive,airbag,belted,1,m,25,1998,1998,deploy,driver,1,2,1.020150463
25-39,32.467,alive,none,none,0,f,25,1998,1993,unavail,pass,0,1,12:47:01
25-39,31.155,alive,none,none,0,m,25,1998,1988,unavail,driver,0,1,0.558344907
25-39,31.155,alive,none,none,0,m,25,1998,1988,unavail,pass,0,2,0.558344907
25-39,99.215,alive,airbag,none,1,m,25,1998,1994,deploy,driver,1,1,0.563206019
24-Oct,124.423,alive,airbag,none,0,m,25,1998,1998,deploy,pass,1,1,0.588912037
55+,47.412,alive,none,none,1,m,25,1998,1985,unavail,driver,0,3,0.59306713
24-Oct,116.39,alive,airbag,belted,0,m,25,1998,1995,deploy,driver,1,1,0.596539352
40-54,166.03,alive,none,none,0,m,25,1998,1983,unavail,driver,0,2,0.605578704
40-54,166.03,alive,none,none,0,m,25,1998,1983,unavail,pass,0,2,0.605578704
55+,60.441,alive,none,belted,1,m,25,1998,1990,unavail,driver,0,3,0.608344907
40-54,31.155,alive,none,none,0,m,25,1998,1986,unavail,pass,0,0,0.622939815
24-Oct,302.735,alive,none,none,0,f,25,1998,1989,unavail,driver,0,2,0.638206019
40-54,31.155,alive,none,belted,1,m,25,1998,1983,unavail,driver,0,1,0.646539352
55+,147.876,alive,none,belted,0,f,25,1998,1994,unavail,driver,0,3,0.64724537
24-Oct,102.813,alive,none,belted,1,f,25,1998,1990,unavail,driver,0,1,0.649328704
24-Oct,102.813,alive,none,belted,1,m,25,1998,1990,unavail,pass,0,0,0.649328704
25-39,31.155,alive,none,belted,1,m,25,1998,1987,unavail,driver,0,3,0.665300926
55+,32.467,dead,airbag,none,0,f,25,1998,1998,deploy,driver,1,4,0.667372685
25-39,168.838,alive,none,belted,1,m,25,1998,1986,unavail,driver,0,0,0.600023148
24-Oct,277.464,alive,airbag,belted,1,f,25,1998,1995,deploy,driver,1,0,0.60974537
24-Oct,86.986,alive,none,belted,0,f,25,1998,1985,unavail,driver,0,3,0.637511574
24-Oct,611.255,alive,none,belted,1,m,25,1998,1988,unavail,driver,0,0,0.639606481
24-Oct,86.986,alive,none,none,1,m,25,1998,1987,unavail,driver,0,3,0.648622685
25-39,96.498,alive,airbag,none,1,m,25,1998,1998,deploy,driver,1,1,0.65349537
25-39,96.498,alive,airbag,none,1,m,25,1998,1998,nodeploy,pass,0,2,0.65349537
40-54,81.517,alive,airbag,belted,1,m,25,1998,1995,deploy,driver,1,1,0.688217593
24-Oct,273.26,alive,airbag,belted,0,m,25,1998,1998,deploy,pass,1,0,0.697928241
40-54,24.303,alive,airbag,none,1,m,25,1998,1989,deploy,driver,1,2,41:40:01
25-39,218.162,alive,none,none,1,f,25,1998,1981,unavail,driver,0,2,41:42:02
55+,16.738,alive,none,belted,1,m,25,1998,1967,unavail,driver,0,3,41:117:1
25-39,67.286,alive,none,belted,1,f,25,1998,1994,unavail,driver,0,3,41:132:1
25-39,769.035,alive,none,belted,0,f,25,1998,1990,unavail,driver,0,0,43:41:01
24-Oct,1188.156,alive,none,belted,1,f,25,1998,1988,unavail,driver,0,0,43:55:01
25-39,57.463,alive,none,belted,1,m,25,1998,1989,unavail,driver,0,3,43:81:2
40-54,52.414,alive,none,none,1,m,25,1998,1991,unavail,pass,0,3,43:89:1
24-Oct,47.503,alive,none,belted,1,m,25,1998,1990,unavail,pass,0,0,43:122:1
24-Oct,2173.712,alive,airbag,belted,1,m,25,1998,1996,deploy,driver,1,2,43:185:1
24-Oct,35.822,alive,airbag,none,1,m,25,1998,1996,deploy,driver,1,3,43:191:2
25-39,47.503,alive,none,belted,0,m,25,1998,1982,unavail,driver,0,1,43:231:2
25-39,311.701,alive,airbag,belted,0,m,25,1998,1994,deploy,pass,1,0,43:320:1
40-54,165.262,alive,none,none,1,m,25,1998,1984,unavail,pass,0,3,45:32:01
24-Oct,1134.205,alive,airbag,belted,1,f,25,1998,1995,deploy,driver,1,0,45:59:02
24-Oct,132.034,alive,airbag,none,0,f,25,1998,1996,nodeploy,pass,0,0,45:104:1
25-39,68.859,alive,none,belted,0,m,25,1998,1991,unavail,pass,0,1,45:106:1
40-54,55.677,alive,airbag,belted,0,m,25,1998,1997,nodeploy,driver,0,3,45:138:1
25-39,61.404,alive,airbag,belted,0,f,25,1998,1998,nodeploy,driver,0,3,45:143:2
24-Oct,49.778,alive,none,none,0,f,25,1998,1988,unavail,pass,0,3,45:147:1
40-54,137.348,alive,airbag,belted,1,m,25,1998,1997,deploy,driver,1,2,45:153:2
24-Oct,49.778,alive,none,belted,0,m,25,1998,1989,unavail,driver,0,1,45:159:1
24-Oct,288.576,alive,airbag,none,1,f,25,1998,1995,deploy,driver,1,3,48:26:01
25-39,950.282,alive,airbag,belted,1,m,25,1998,1995,deploy,driver,1,3,48:50:01
24-Oct,1108.433,alive,none,belted,0,m,25,1998,1986,unavail,driver,0,0,48:98:2
24-Oct,275.444,alive,none,none,1,m,25,1998,1985,unavail,pass,0,3,48:122:1
25-39,288.576,alive,none,belted,0,m,25,1998,1983,unavail,driver,0,0,48:135:1
24-Oct,278.887,alive,none,belted,1,m,25,1998,1989,unavail,pass,0,0,48:141:2
24-Oct,2724.53,alive,none,belted,0,m,25,1998,1987,unavail,pass,0,1,49:03:02
55+,292.336,alive,none,belted,1,m,25,1998,1991,unavail,pass,0,1,49:50:01
55+,10.261,alive,none,none,1,m,25,1998,1993,unavail,driver,0,3,49:144:1
24-Oct,12.381,alive,airbag,none,0,f,25,1998,1997,deploy,pass,1,3,49:206:1
24-Oct,0,alive,airbag,belted,1,m,25,1998,1999,deploy,driver,1,1,49:811:1
40-54,4.581,alive,airbag,none,0,f,25,1998,1996,nodeploy,driver,0,3,72:41:01
24-Oct,34.993,alive,none,none,1,f,25,1998,1984,unavail,driver,0,3,72:103:2
24-Oct,13.936,alive,airbag,belted,0,f,25,1998,1995,nodeploy,driver,0,3,72:129:2
40-54,376.5,alive,none,belted,1,m,25,1998,1990,unavail,driver,0,2,73:06:01
40-54,376.5,alive,none,belted,1,m,25,1998,1990,unavail,pass,0,3,73:06:01
24-Oct,21.316,alive,airbag,belted,0,m,25,1998,1994,nodeploy,pass,0,0,73:24:02
25-39,24.166,alive,airbag,belted,0,m,25,1998,1996,nodeploy,driver,0,1,73:50:02
25-39,814.63,alive,airbag,belted,1,m,25,1998,1995,deploy,driver,1,0,73:61:1
55+,46.336,alive,airbag,belted,1,m,25,1998,1993,deploy,driver,1,0,73:104:2
55+,123.848,alive,none,none,1,m,25,1998,1991,unavail,driver,0,3,73:139:2
55+,130.157,alive,none,none,1,m,25,1998,1989,unavail,driver,0,3,73:146:1
40-54,12.872,alive,airbag,belted,1,m,25,1998,1995,nodeploy,driver,0,0,74:87:1
24-Oct,23.427,alive,airbag,belted,1,m,25,1998,1996,nodeploy,driver,0,0,74:109:1
25-39,69.721,alive,none,belted,0,f,25,1998,1993,unavail,driver,0,3,75:17:02
1-9km/h,2168.108,alive,none,belted,1,f,25,1998,1994,unavail,driver,0,0,75:45:01
55+,50.687,dead,none,none,1,m,25,1998,1991,unavail,driver,0,4,75:104:1
24-Oct,2560.21,alive,none,belted,0,f,25,1998,1990,unavail,driver,0,0,75:163:2
24-Oct,45.812,alive,airbag,belted,1,m,25,1998,1995,deploy,pass,1,2,75:229:1
40-54,0,alive,airbag,belted,1,f,25,1998,1998,deploy,driver,1,3,75:802:2
1-9km/h,353.174,alive,none,none,1,m,25,1998,1987,unavail,driver,0,3,76:84:2
1-9km/h,1502.901,alive,airbag,belted,1,m,25,1998,1994,nodeploy,pass,0,0,76:87:1
55+,142.628,alive,airbag,belted,1,m,25,1998,1997,deploy,driver,1,0,76:94:1
25-39,688.555,alive,none,belted,1,m,25,1998,1986,unavail,pass,0,0,78:02:02
25-39,8.835,alive,none,belted,1,f,25,1998,1992,unavail,driver,0,3,79:22:02
24-Oct,64.509,alive,none,belted,1,m,25,1998,1988,unavail,driver,0,1,79:24:01
24-Oct,322.084,alive,none,none,1,m,25,1998,1986,unavail,driver,0,1,79:27:01
40-54,69.706,alive,none,belted,1,m,25,1998,1987,unavail,driver,0,1,79:31:02
25-39,8.918,alive,none,none,0,f,25,1998,1988,unavail,driver,0,3,79:60:1
40-54,3.015,alive,none,none,1,m,25,1998,1977,unavail,pass,0,2,79:89:1
24-Oct,41.639,alive,airbag,belted,1,f,25,1998,1997,deploy,pass,1,1,79:103:2
40-54,14.374,alive,none,belted,0,f,25,1998,1981,unavail,driver,0,3,81:73:2
24-Oct,0,alive,airbag,belted,0,m,25,1998,1998,deploy,pass,1,1,81:803:1
24-Oct,413.407,alive,none,belted,0,m,25,1998,1983,unavail,driver,0,0,82:163:1
24-Oct,18.171,alive,none,belted,1,m,25,1998,1985,unavail,driver,0,3,82:171:3
25-39,150.961,alive,none,belted,1,m,25,1999,1994,unavail,driver,0,2,0.150706019
25-39,106.556,alive,airbag,none,0,m,25,1999,1994,deploy,driver,1,1,3:23:02
55+,67.017,alive,airbag,none,1,m,25,1999,2000,deploy,driver,1,1,0.21599537
55+,67.017,alive,airbag,none,1,m,25,1999,2000,deploy,pass,1,2,0.21599537
25-39,656.567,alive,none,none,1,m,25,1999,1985,unavail,pass,0,1,5:47:02
25-39,163.552,alive,airbag,belted,1,f,25,1999,1999,deploy,driver,1,3,0.270162037
25-39,664.189,alive,none,belted,0,f,25,1999,1991,unavail,driver,0,0,0.409050926
25-39,59.544,alive,airbag,none,0,m,25,1999,1998,deploy,driver,1,1,0.44931713
1-9km/h,830.742,alive,airbag,belted,0,m,25,1999,1998,nodeploy,driver,0,0,0.477094907
24-Oct,651.098,alive,airbag,belted,0,f,25,1999,1995,nodeploy,driver,0,0,0.483344907
25-39,24.052,alive,airbag,none,1,m,25,1999,1997,deploy,driver,1,2,9:22:02
25-39,2440.343,alive,none,belted,0,m,25,1999,1983,unavail,driver,0,2,0.479872685
55+,26.618,dead,none,none,0,m,25,1999,1989,unavail,driver,0,4,0.489594907
24-Oct,219.521,alive,none,belted,0,f,25,1999,1994,unavail,driver,0,1,0.504178241
55+,52.227,alive,airbag,none,0,m,25,1999,1991,deploy,driver,1,3,0.552106481
24-Oct,1092.74,alive,none,none,1,m,25,1999,1979,unavail,driver,0,0,0.560428241
1-9km/h,1092.74,alive,none,belted,0,m,25,1999,1990,unavail,driver,0,0,0.560451389
55+,99.274,alive,none,none,1,m,25,1999,1986,unavail,driver,0,1,12:30:01
1-9km/h,367.563,alive,none,none,0,m,25,1999,1982,unavail,driver,0,1,12:53:02
25-39,500.047,alive,airbag,none,0,f,25,1999,1997,nodeploy,driver,0,0,0.569456019
24-Oct,246.946,alive,airbag,belted,1,m,25,1999,1996,nodeploy,driver,0,0,0.64099537
24-Oct,245.212,alive,airbag,none,1,m,25,1999,1995,nodeploy,driver,0,0,0.648622685
24-Oct,43.22,alive,none,belted,1,f,25,1999,1988,unavail,driver,0,3,0.655578704
24-Oct,72.169,alive,airbag,belted,1,m,25,1999,1997,deploy,driver,1,1,0.583344907
24-Oct,72.169,alive,airbag,belted,1,m,25,1999,1998,deploy,pass,1,2,0.584039352
24-Oct,91.427,alive,none,belted,1,m,25,1999,1990,unavail,driver,0,3,0.675011574
25-39,91.427,alive,none,belted,1,m,25,1999,1988,unavail,driver,0,1,0.693773148
40-54,20.87,alive,none,none,1,m,25,1999,1994,unavail,pass,0,3,41:75:2
24-Oct,19.426,alive,airbag,belted,0,f,25,1999,1993,nodeploy,pass,0,2,41:77:5
24-Oct,171.373,alive,airbag,belted,0,m,25,1999,1997,nodeploy,driver,0,1,41:134:1
25-39,18.164,alive,airbag,belted,1,f,25,1999,1996,deploy,driver,1,2,41:157:2
55+,51.368,alive,airbag,belted,0,m,25,1999,1989,nodeploy,driver,0,3,43:12:01
24-Oct,51.368,alive,none,belted,0,m,25,1999,1992,unavail,driver,0,0,43:22:01
25-39,596.638,alive,none,belted,0,m,25,1999,1986,unavail,driver,0,1,43:32:01
25-39,51.368,alive,none,belted,1,f,25,1999,1992,unavail,driver,0,0,43:48:02
25-39,51.832,alive,airbag,belted,0,m,25,1999,1998,deploy,driver,1,3,43:55:02
24-Oct,553.941,alive,airbag,belted,1,m,25,1999,1995,nodeploy,driver,0,1,43:98:1
25-39,51.368,alive,none,belted,0,m,25,1999,1991,unavail,driver,0,3,43:101:1
40-54,51.832,alive,none,belted,1,m,25,1999,1990,unavail,driver,0,3,43:110:2
24-Oct,273.78,alive,airbag,belted,0,f,25,1999,1999,nodeploy,driver,0,2,43:124:2
24-Oct,273.78,alive,airbag,belted,0,m,25,1999,1999,nodeploy,pass,0,2,43:124:2
24-Oct,69.414,alive,airbag,belted,1,f,25,1999,1995,deploy,driver,1,1,43:155:1
25-39,52.685,alive,airbag,belted,0,m,25,1999,1994,deploy,driver,1,3,43:162:2
40-54,57.126,dead,none,belted,0,f,25,1999,1987,unavail,pass,0,4,45:32:02
24-Oct,49.406,alive,airbag,none,0,m,25,1999,1993,nodeploy,pass,0,1,45:41:02
24-Oct,64.257,alive,none,belted,1,f,25,1999,1992,unavail,driver,0,2,45:73:2
55+,80.472,alive,airbag,none,0,f,25,1999,1994,nodeploy,pass,0,3,45:78:1
25-39,80.472,alive,none,none,1,m,25,1999,1982,unavail,driver,0,3,45:79:1
24-Oct,2410.937,alive,airbag,belted,0,f,25,1999,1995,nodeploy,driver,0,1,45:84:1
24-Oct,2507.802,alive,none,belted,1,m,25,1999,1989,unavail,driver,0,0,45:85:2
55+,44.738,alive,none,none,1,m,25,1999,1992,unavail,driver,0,3,45:124:1
25-39,865.763,alive,none,none,1,f,25,1999,1989,unavail,driver,0,3,45:133:1
40-54,64.612,alive,airbag,belted,0,f,25,1999,1996,nodeploy,driver,0,3,45:135:2
25-39,44.738,alive,none,none,1,m,25,1999,1988,unavail,driver,0,3,45:148:1
25-39,3269.833,alive,none,none,1,m,25,1999,1982,unavail,driver,0,2,45:155:1
24-Oct,8000.738,alive,airbag,belted,0,m,25,1999,1997,nodeploy,driver,0,0,45:159:1
24-Oct,49.406,alive,none,belted,0,m,25,1999,1993,unavail,pass,0,2,45:174:1
55+,50.015,alive,airbag,none,1,m,25,1999,1997,deploy,driver,1,3,45:191:1
25-39,56.972,dead,none,none,0,m,25,1999,1985,unavail,driver,0,4,45:198:2
40-54,4959.875,alive,none,none,0,m,25,1999,1980,unavail,driver,0,3,45:215:1
40-54,55.698,alive,none,none,1,f,25,1999,1988,unavail,driver,0,3,45:217:1
25-39,431.501,alive,none,belted,1,m,25,1999,1983,unavail,driver,0,0,48:14:02
24-Oct,222.8,alive,airbag,belted,1,f,25,1999,1996,deploy,driver,1,3,48:17:02
